State/UT,Persons Arrested,Persons Chargesheeted,Persons Convicted,Persons Acquitted/ discharged by the Court,region type
Andhra Pradesh,863,487,48,484,state
Arunachal Pradesh,3,2,0,0,state
Assam,253,130,0,0,state
Bihar,337,271,10,0,state
Chhattisgarh,96,92,7,17,state
Goa,106,149,1,15,state
Gujarat,38,38,8,0,state
Haryana,70,65,1,1,state
Himachal Pradesh,22,22,0,3,state
Jammu & Kashmir,6,6,3,7,state
Jharkhand,261,151,110,2,state
Karnataka,81,38,0,106,state
Kerala,197,84,1,16,state
Madhya Pradesh,291,269,28,112,state
Maharashtra,901,586,4,22,state
Manipur,6,4,0,0,state
Meghalaya,25,14,0,0,state
Mizoram,3,3,0,0,state
Nagaland,0,0,0,0,state
Odisha,80,0,0,0,state
Punjab,71,43,6,13,state
Rajasthan,117,103,0,0,state
Sikkim,2,1,0,1,state
Tamil Nadu,48,35,2,41,state
Telangana,789,666,1,98,state
Tripura,1,1,0,0,state
Uttar Pradesh,115,101,177,0,state
Uttarakhand,82,88,4,7,state
West Bengal,330,341,18,174,state
A & N Islands,0,0,0,0,union territory
Chandigarh,0,0,0,0,union territory
D&N Haveli,0,0,0,0,union territory
Daman & Diu,0,0,0,0,union territory
Delhi UT,168,132,3,7,union territory
Lakshadweep,0,0,0,0,union territory
Puducherry,0,0,0,0,union territory
