State/UT,Forced Labour,Sexual Exploitation for Prostitution,Domestic Servitude,Forced Marriage,Petty Crimes,Child Pornography,Begging,Removal of Organs,Other reasons,Total Persons,region type
Andhra Pradesh,21,353,8,0,0,0,0,0,71,453,state
Arunachal Pradesh,0,0,2,0,0,0,0,0,2,4,state
Assam,31,52,8,64,0,0,0,0,111,266,state
Bihar,77,73,6,0,0,0,0,0,466,622,state
Chhattisgarh,240,12,15,4,0,0,0,0,4,275,state
Goa,0,88,0,0,0,0,7,6,1,102,state
Gujarat,0,5,0,1,0,0,0,0,20,26,state
Haryana,0,1,1,4,0,0,0,0,24,30,state
Himachal Pradesh,0,5,0,0,0,0,0,0,6,11,state
Jammu & Kashmir,0,0,0,0,0,0,0,0,1,1,state
Jharkhand,58,18,34,32,0,0,7,0,9,158,state
Karnataka,15,24,3,0,0,154,0,0,5,201,state
Kerala,22,7,10,10,2,0,2,0,105,158,state
Madhya Pradesh,32,5,1,27,0,0,0,0,35,100,state
Maharashtra,4,726,4,9,0,0,0,0,48,791,state
Manipur,3,1,1,0,0,0,0,0,0,5,state
Meghalaya,0,0,0,0,0,0,0,0,7,7,state
Mizoram,2,1,0,0,0,0,0,0,0,3,state
Nagaland,0,0,0,0,0,0,0,0,0,0,state
Odisha,0,0,0,0,0,0,0,0,252,252,state
Punjab,9,5,0,0,0,0,0,0,8,22,state
Rajasthan,29,3,0,14,0,0,2,0,331,379,state
Sikkim,0,3,1,0,0,0,0,0,0,4,state
Tamil Nadu,47,11,0,0,0,0,1,0,6,65,state
Telangana,140,335,0,0,0,0,1,0,31,507,state
Tripura,0,0,0,0,0,0,0,0,2,2,state
Uttar Pradesh,0,46,3,29,0,0,0,0,8,86,state
Uttarakhand,1,40,0,6,4,0,0,0,7,58,state
West Bengal,0,68,0,15,1,0,1,0,169,254,state
A & N Islands,0,0,0,0,0,0,0,0,0,0,union territory
Chandigarh,0,0,0,0,0,0,0,0,0,0,union territory
D&N Haveli,0,0,0,0,0,0,0,0,0,0,union territory
Daman & Diu,0,0,0,0,0,0,0,0,0,0,union territory
Delhi UT,315,40,46,5,0,0,0,0,16,422,union territory
Lakshadweep,0,0,0,0,0,0,0,0,0,0,union territory
Puducherry,0,0,0,0,0,0,0,0,0,0,union territory
