State/UT,Male,Female,Total_victims_rescued,Nationality,region type
Andhra Pradesh,1.0,452.0,453.0,India,state
Arunachal Pradesh,4.0,0.0,4.0,India,state
Assam,29.0,237.0,266.0,India,state
Bihar,466.0,80.0,546.0,India,state
Chhattisgarh,145.0,124.0,269.0,India,state
Goa,2.0,86.0,88.0,India,state
Gujarat,0.0,16.0,16.0,India,state
Haryana,3.0,27.0,30.0,India,state
Himachal Pradesh,0.0,11.0,11.0,India,state
Jammu & Kashmir,1.0,0.0,1.0,India,state
Jharkhand,24.0,134.0,158.0,India,state
Karnataka,18.0,145.0,163.0,India,state
Kerala,29.0,129.0,158.0,India,state
Madhya Pradesh,43.0,57.0,100.0,India,state
Maharashtra,48.0,680.0,728.0,India,state
Manipur,0.0,4.0,4.0,India,state
Meghalaya,0.0,7.0,7.0,India,state
Mizoram,0.0,1.0,1.0,India,state
Nagaland,0.0,0.0,0.0,India,state
Odisha,98.0,154.0,252.0,India,state
Punjab,14.0,8.0,22.0,India,state
Rajasthan,346.0,33.0,379.0,India,state
Sikkim,0.0,4.0,4.0,India,state
Tamil Nadu,35.0,30.0,65.0,India,state
Telangana,122.0,380.0,502.0,India,state
Tripura,0.0,1.0,1.0,India,state
Uttar Pradesh,2.0,84.0,86.0,India,state
Uttarakhand,6.0,50.0,56.0,India,state
West Bengal,29.0,225.0,254.0,India,state
A & N Islands,0.0,0.0,0.0,India,union territory
Chandigarh,0.0,0.0,0.0,India,union territory
D&N Haveli,0.0,0.0,0.0,India,union territory
Daman & Diu,0.0,0.0,0.0,India,union territory
Delhi UT,325.0,63.0,388.0,India,union territory
Lakshadweep,0.0,0.0,0.0,India,union territory
Puducherry,0.0,0.0,0.0,India,union territory
Andhra Pradesh,0.0,0.0,0.0,Nepal,state
Arunachal Pradesh,0.0,0.0,0.0,Nepal,state
Assam,0.0,0.0,0.0,Nepal,state
Bihar,73.0,3.0,76.0,Nepal,state
Chhattisgarh,0.0,0.0,0.0,Nepal,state
Goa,0.0,3.0,3.0,Nepal,state
Gujarat,0.0,3.0,3.0,Nepal,state
Haryana,0.0,0.0,0.0,Nepal,state
Himachal Pradesh,0.0,0.0,0.0,Nepal,state
Jammu & Kashmir,0.0,0.0,0.0,Nepal,state
Jharkhand,0.0,0.0,0.0,Nepal,state
Karnataka,0.0,38.0,38.0,Nepal,state
Kerala,0.0,0.0,0.0,Nepal,state
Madhya Pradesh,0.0,0.0,0.0,Nepal,state
Maharashtra,1.0,11.0,12.0,Nepal,state
Manipur,0.0,0.0,0.0,Nepal,state
Meghalaya,0.0,0.0,0.0,Nepal,state
Mizoram,0.0,0.0,0.0,Nepal,state
Nagaland,0.0,0.0,0.0,Nepal,state
