S. No.,State/UT,Cases Reported,Percentage Share of State (2018),Mid-Year Projected Population (In Lakhs)+,Rate of Cognizable Crimes (IPC)++,region type
1,Andhra Pradesh,240,9.7,520.3,0.5,state
2,Arunachal Pradesh,3,0.1,14.9,0.2,state
3,Assam,262,10.6,340.4,0.8,state
4,Bihar,127,5.2,1183.3,0.1,state
5,Chhattisgarh,51,2.1,284.7,0.2,state
6,Goa,55,2.2,15.3,3.6,state
7,Gujarat,13,0.5,673.2,0.0,state
8,Haryana,34,1.4,284.0,0.1,state
9,Himachal Pradesh,6,0.2,72.7,0.1,state
10,Jammu & Kashmir,1,0.0,134.3,0.0,state
11,Jharkhand,373,15.1,370.5,1.0,state
12,Karnataka,27,1.1,654.5,0.0,state
13,Kerala,105,4.3,350.0,0.3,state
14,Madhya Pradesh,63,2.6,814.7,0.1,state
15,Maharashtra,311,12.6,1213.9,0.3,state
16,Manipur,3,0.1,30.8,0.1,state
17,Meghalaya,24,1.0,32.0,2.0,state
18,Mizoram,2,0.1,11.8,0.1,state
19,Nagaland,0,0.0,21.3,0.0,state
20,Odisha,75,3.0,435.5,0.2,state
21,Punjab,17,0.7,297.0,0.1,state
22,Rajasthan,86,3.5,765.9,0.1,state
23,Sikkim,1,0.0,6.6,0.2,state
24,Tamil Nadu,8,0.3,754.6,0.0,state
25,Telangana,242,9.8,370.3,0.7,state
26,Tripura,2,0.1,39.6,0.1,state
27,Uttar Pradesh,35,1.4,2230.0,0.0,state
28,Uttarakhand,29,1.2,110.6,0.3,state
29,West Bengal,172,7.0,965.0,0.2,state
30,A & N Islands,0,0.0,4.0,0.0,union territory
31,Chandigarh,0,0.0,11.7,0.0,union territory
32,D&N Haveli,0,0.0,5.3,0.0,union territory
33,Daman & Diu,0,0.0,4.0,0.0,union territory
34,Delhi UT,98,4.0,195.6,0.5,union territory
35,Lakshadweep,0,0.0,0.7,0.0,union territory
36,Puducherry,0,0.0,14.8,0.0,union territory
