State/UT,Male,Female,Total_victims_rescued,Age Group,region_type
A & N Islands,0,0,0,Below 18,union territory
A & N Islands,0,0,0,Above 18,union territory
Andhra Pradesh,1,15,16,Below 18,state
Andhra Pradesh,0,437,437,Above 18,state
Arunachal Pradesh,3,0,3,Below 18,state
Arunachal Pradesh,1,0,1,Above 18,state
Assam,16,138,154,Below 18,state
Assam,13,99,112,Above 18,state
Bihar,527,10,537,Below 18,state
Bihar,12,73,85,Above 18,state
Chandigarh,0,0,0,Below 18,union territory
Chandigarh,0,0,0,Above 18,union territory
Chhattisgarh,45,56,101,Below 18,state
Chhattisgarh,100,74,174,Above 18,state
D&N Haveli,0,0,0,Below 18,union territory
D&N Haveli,0,0,0,Above 18,union territory
Daman & Diu,0,0,0,Below 18,union territory
Daman & Diu,0,0,0,Above 18,union territory
Delhi UT,304,60,364,Below 18,union territory
Delhi UT,23,35,58,Above 18,union territory
Goa,2,7,9,Below 18,state
Goa,0,93,93,Above 18,state
Gujarat,0,1,1,Below 18,state
Gujarat,0,25,25,Above 18,state
Haryana,2,22,24,Below 18,state
Haryana,1,5,6,Above 18,state
Himachal Pradesh,0,0,0,Below 18,state
Himachal Pradesh,0,11,11,Above 18,state
Jammu & Kashmir,1,0,1,Below 18,state
Jammu & Kashmir,0,0,0,Above 18,state
Jharkhand,13,90,103,Below 18,state
Jharkhand,11,44,55,Above 18,state
Karnataka,3,5,8,Below 18,state
Karnataka,15,178,193,Above 18,state
Kerala,28,84,112,Below 18,state
Kerala,1,45,46,Above 18,state
Lakshadweep,0,0,0,Below 18,union territory
Lakshadweep,0,0,0,Above 18,union territory
Madhya Pradesh,31,41,72,Below 18,state
Madhya Pradesh,12,16,28,Above 18,state
Maharashtra,25,49,74,Below 18,state
Maharashtra,24,693,717,Above 18,state
Manipur,0,2,2,Below 18,state
Manipur,0,3,3,Above 18,state
Meghalaya,0,5,5,Below 18,state
Meghalaya,0,2,2,Above 18,state
Mizoram,2,0,2,Below 18,state
Mizoram,0,1,1,Above 18,state
Nagaland,0,0,0,Below 18,state
Nagaland,0,0,0,Above 18,state
Odisha,41,90,131,Below 18,state
Odisha,57,64,121,Above 18,state
Puducherry,0,0,0,Below 18,union territory
Puducherry,0,0,0,Above 18,union territory
Punjab,12,3,15,Below 18,state
Punjab,2,5,7,Above 18,state
Rajasthan,346,27,373,Below 18,state
Rajasthan,0,6,6,Above 18,state
Sikkim,0,2,2,Below 18,state
Sikkim,0,2,2,Above 18,state
Tamil Nadu,19,8,27,Below 18,state
Tamil Nadu,16,22,38,Above 18,state
Telangana,4,4,8,Below 18,state
Telangana,118,381,499,Above 18,state
Tripura,0,1,1,Below 18,state
Tripura,1,0,1,Above 18,state
Uttar Pradesh,2,39,41,Below 18,state
Uttar Pradesh,0,45,45,Above 18,state
Uttarakhand,6,12,18,Below 18,state
Uttarakhand,0,40,40,Above 18,state
West Bengal,23,131,154,Below 18,state
West Bengal,6,94,100,Above 18,state
