State/UT,Male,Female,Total_victims_trafficked,Age Group,x
A & N Islands,0,0,0,Below 18,union territory
A & N Islands,0,0,0,Above 18,union territory
Andhra Pradesh,1,15,16,Below 18,state
Andhra Pradesh,0,351,351,Above 18,state
Arunachal Pradesh,3,0,3,Below 18,state
Arunachal Pradesh,1,0,1,Above 18,state
Assam,23,164,187,Below 18,state
Assam,21,106,127,Above 18,state
Bihar,529,10,539,Below 18,state
Bihar,12,80,92,Above 18,state
Chandigarh,0,0,0,Below 18,union territory
Chandigarh,0,0,0,Above 18,union territory
Chhattisgarh,45,56,101,Below 18,state
Chhattisgarh,100,74,174,Above 18,state
D&N Haveli,0,0,0,Below 18,union territory
D&N Haveli,0,0,0,Above 18,union territory
Daman & Diu,0,0,0,Below 18,union territory
Daman & Diu,0,0,0,Above 18,union territory
Delhi UT,99,531,432,Below 18,union territory
Delhi UT,69,58,127,Above 18,union territory
Goa,3,6,9,Below 18,state
Goa,0,93,93,Above 18,state
Gujarat,0,1,1,Below 18,state
Gujarat,0,25,25,Above 18,state
Haryana,3,23,26,Below 18,state
Haryana,2,6,8,Above 18,state
Himachal Pradesh,0,3,3,Below 18,state
Himachal Pradesh,0,13,13,Above 18,state
Jammu & Kashmir,1,0,1,Below 18,state
Jammu & Kashmir,0,0,0,Above 18,state
Jharkhand,17,314,331,Below 18,state
Jharkhand,24,78,102,Above 18,state
Karnataka,3,5,8,Below 18,state
Karnataka,15,178,193,Above 18,state
Kerala,40,105,145,Below 18,state
Kerala,0,38,38,Above 18,state
Lakshadweep,0,0,0,Below 18,union territory
Lakshadweep,0,0,0,Above 18,union territory
Madhya Pradesh,29,44,73,Below 18,state
Madhya Pradesh,13,19,32,Above 18,state
Maharashtra,27,46,73,Below 18,state
Maharashtra,24,698,722,Above 18,state
Manipur,0,2,2,Below 18,state
Manipur,0,3,3,Above 18,state
Meghalaya,0,22,22,Below 18,state
Meghalaya,0,2,2,Above 18,state
Mizoram,2,0,2,Below 18,state
Mizoram,0,1,1,Above 18,state
Nagaland,0,0,0,Below 18,state
Nagaland,0,0,0,Above 18,state
Odisha,41,90,131,Below 18,state
Odisha,57,64,121,Above 18,state
Puducherry,0,0,0,Below 18,union territory
Puducherry,0,0,0,Above 18,union territory
Punjab,14,6,20,Below 18,state
Punjab,2,7,9,Above 18,state
Rajasthan,346,27,373,Below 18,state
Rajasthan,0,6,6,Above 18,state
Sikkim,0,2,2,Below 18,state
Sikkim,0,2,2,Above 18,state
Tamil Nadu,5,3,8,Below 18,state
Tamil Nadu,16,12,28,Above 18,state
Telangana,4,4,8,Below 18,state
Telangana,118,373,491,Above 18,state
Tripura,0,1,1,Below 18,state
Tripura,1,0,1,Above 18,state
Uttar Pradesh,2,39,41,Below 18,state
Uttar Pradesh,0,49,49,Above 18,state
Uttarakhand,6,12,18,Below 18,state
Uttarakhand,0,40,40,Above 18,state
West Bengal,11,148,159,Below 18,state
West Bengal,7,96,103,Above 18,state
